,Number,Plate,Well,Column,Project,SampleType,Mouse,Date,Day,Isolator,Isolator_2,Community,MouseType,Observations,Quantity.Added,X16S_Set,DNA.Extraction.Kit,SeqName,Location,finalDaySamples
S1,1,1,A,1,MouseExp1,Stool,1L,7.22,1,115,NA,Small Intestine,SW1,,NA,1,Power Bead,S1,Stool,0
S100,100,2,A,4,MouseExp1,Stool,B,7.28,7,115,NA,Small Intestine,SW1,,NA,2,Power Bead,S100,Stool,0
S101,101,2,A,5,MouseExp1,Stool,1L,7.28,7,115,NA,Small Intestine,SW1,,NA,2,Power Bead,S101,Stool,0
S102,102,2,A,6,MouseExp1,Stool,1L,7.28,7,115,NA,Small Intestine,B6,,NA,2,Power Bead,S102,Stool,0
S103,103,2,A,7,MouseExp1,Stool,1R,7.28,7,115,NA,Small Intestine,SW2,,NA,2,Power Bead,S103,Stool,0
S104,104,2,A,8,MouseExp1,Stool,1L,7.28,7,121,NA,Stool,B6,,NA,2,Power Bead,S104,Stool,0
S105,105,2,A,9,MouseExp1,Stool,1L,7.28,7,121,NA,Stool,SW1,,NA,2,Power Bead,S105,Stool,0
S106,106,2,A,10,MouseExp1,Stool,2L,7.28,7,121,NA,Stool,SW2,,NA,2,Power Bead,S106,Stool,0
S107,107,2,A,11,MouseExp1,Stool,B,7.28,7,121,NA,Stool,SW1,,NA,2,Power Bead,S107,Stool,0
S108,108,2,A,12,MouseExp1,Stool,R,7.28,7,121,NA,Stool,B6,,NA,2,Power Bead,S108,Stool,0
S109,109,2,B,1,MouseExp1,Stool,B,7.28,7,115,NA,Small Intestine,SW2,,NA,2,Power Bead,S109,Stool,0
S110,110,2,B,2,MouseExp1,Stool,1R,7.28,7,115,NA,Small Intestine,B6,,NA,2,Power Bead,S110,Stool,0
S111,111,2,B,3,MouseExp1,Stool,1L,7.28,7,115,NA,Small Intestine,SW2,,NA,2,Power Bead,S111,Stool,0
S112,112,2,B,4,MouseExp1,Stool,1R,7.28,7,115,NA,Small Intestine,SW1,,NA,2,Power Bead,S112,Stool,0
S113,113,2,B,5,MouseExp1,Stool,1R,7.28,7,121,NA,Stool,SW2,,NA,2,Power Bead,S113,Stool,0
S114,114,2,B,6,MouseExp1,Stool,1L,7.28,7,121,NA,Stool,SW2,,NA,2,Power Bead,S114,Stool,0
S115,115,2,B,7,MouseExp1,Stool,2R,7.28,7,121,NA,Stool,SW1,,NA,2,Power Bead,S115,Stool,0
S116,116,2,B,8,MouseExp1,Stool,B,7.28,7,121,NA,Stool,SW2,,NA,2,Power Bead,S116,Stool,0
S117,117,2,B,9,MouseExp1,Stool,1R,7.28,7,121,NA,Stool,SW1,,NA,2,Power Bead,S117,Stool,0
S118,118,2,B,10,MouseExp1,Stool,1L,9.8,49,121,126,Stool2SI,B6,,NA,2,Power Bead,S118,Stool,1
S119,119,2,B,11,MouseExp1,Stool,B,9.8,49,121,126,Stool2SI,SW1,,NA,2,Power Bead,S119,Stool,1
S120,120,2,B,12,MouseExp1,Stool,1L,9.8,49,121,126,Stool2SI,SW1,,NA,2,Power Bead,S120,Stool,1
S121,121,2,C,1,MouseExp1,Stool,1R,9.8,49,121,126,Stool2SI,SW1,,NA,2,Power Bead,S121,Stool,1
S122,122,2,C,2,MouseExp1,Stool,2R,9.8,49,121,126,Stool2SI,SW1,,NA,2,Power Bead,S122,Stool,1
S123,123,2,C,3,MouseExp1,Stool,1L,9.8,49,115,126,SI2Stool,B6,,NA,2,Power Bead,S123,Stool,1
S124,124,2,C,4,MouseExp1,Stool,B,9.8,49,115,126,SI2Stool,SW1,,NA,2,Power Bead,S124,Stool,1
S125,125,2,C,5,MouseExp1,Stool,1L,9.8,49,115,126,SI2Stool,SW1,,NA,2,Power Bead,S125,Stool,1
S126,126,2,C,6,MouseExp1,Stool,1R,9.8,49,115,126,SI2Stool,SW1,,NA,2,Power Bead,S126,Stool,1
S127,127,2,C,7,MouseExp1,Stool,2R,9.8,49,115,126,SI2Stool,SW1,,NA,2,Power Bead,S127,Stool,1
S128,128,2,C,8,MouseExp1,Cecum,1L,9.8,49,121,126,Stool2SI,B6,,NA,2,Power Bead,S128,Cecum,1
S129,129,2,C,9,MouseExp1,Cecum,B,9.8,49,121,126,Stool2SI,SW1,,NA,2,Power Bead,S129,Cecum,1
S13,13,1,B,1,MouseExp1,Stool,1R,7.22,1,115,NA,Small Intestine,SW1,,NA,1,Power Bead,S13,Stool,0
S130,130,2,C,10,MouseExp1,Cecum,1L,9.8,49,121,126,Stool2SI,SW1,,NA,2,Power Bead,S130,Cecum,1
S131,131,2,C,11,MouseExp1,Cecum,1R,9.8,49,121,126,Stool2SI,SW1,Cross-contaminated/Empty,NA,2,Power Bead,S131,Cecum,1
S132,132,2,C,12,MouseExp1,Cecum,2R,9.8,49,121,126,Stool2SI,SW1,Cross-contaminated/Empty,NA,2,Power Bead,S132,Cecum,1
S133,133,2,D,1,MouseExp1,Cecum,1L,9.8,49,115,126,SI2Stool,B6,,NA,2,Power Bead,S133,Cecum,1
S134,134,2,D,2,MouseExp1,Cecum,B,9.8,49,115,126,SI2Stool,SW1,,NA,2,Power Bead,S134,Cecum,1
S135,135,2,D,3,MouseExp1,Cecum,1L,9.8,49,115,126,SI2Stool,SW1,,NA,2,Power Bead,S135,Cecum,1
S136,136,2,D,4,MouseExp1,Cecum,1R,9.8,49,115,126,SI2Stool,SW1,,NA,2,Power Bead,S136,Cecum,1
S137,137,2,D,5,MouseExp1,Cecum,2R,9.8,49,115,126,SI2Stool,SW1,,NA,2,Power Bead,S137,Cecum,1
S138,138,2,D,6,MouseExp1,Stool,1L,9.3,44,121,126,Stool2SI,B6,,NA,2,Power Bead,S138,Stool,0
S139,139,2,D,7,MouseExp1,Stool,B,9.3,44,121,126,Stool2SI,SW1,,NA,2,Power Bead,S139,Stool,0
S14,14,1,B,2,MouseExp1,Stool,1R,7.22,1,115,NA,Small Intestine,SW2,,NA,1,Power Bead,S14,Stool,0
